CVI Map File

Image file path:        c:\FlexiTester.OK\plugins\automat.dll
Timestamp:              6067110A (April 02 2021 12:41:46 GMT)
Preferred base address: 10000000

Rva+Base      Symbol                                        Module

10001000      _RegDeleteKeyA@8                              advapi32.lib
10001006      _RegCloseKey@4                                advapi32.lib
1000100C      _RegDeleteValueA@8                            advapi32.lib
10001012      _RegEnumKeyExA@32                             advapi32.lib
10001018      _RegEnumValueA@32                             advapi32.lib
1000101E      _GetUserNameA@8                               advapi32.lib
10001024      _RegOpenKeyExA@20                             advapi32.lib
1000102A      _RegQueryInfoKeyA@48                          advapi32.lib
10001030      _RegQueryValueExA@24                          advapi32.lib
10001036      _RegSetValueExA@24                            advapi32.lib
1000103C      _RegCreateKeyExA@36                           advapi32.lib
10001050      _GetMenuDefaultItem@12                        user32.lib
10001056      _GetMenuItemCount@4                           user32.lib
1000105C      _MessageBoxA@16                               user32.lib
10001062      _GetMenuItemInfoA@16                          user32.lib
10001068      _SetWindowLongA@12                            user32.lib
1000106E      _InsertMenuItemA@16                           user32.lib
10001074      _CreatePopupMenu@0                            user32.lib
10001080      _CallWindowProcA@20                           user32.lib
10001086      _GetCursorPos@4                               user32.lib
1000108C      _PostMessageA@16                              user32.lib
10001092      _GetDC@4                                      user32.lib
10001098      _SystemParametersInfoA@16                     user32.lib
1000109E      _GetSysColor@4                                user32.lib
100010A4      _TrackPopupMenu@28                            user32.lib
100010AA      _SetForegroundWindow@4                        user32.lib
100010B0      _GetIconInfo@8                                user32.lib
100010B6      _LoadImageA@24                                user32.lib
100010BC      _DefWindowProcA@16                            user32.lib
100010C2      _SetMenuDefaultItem@12                        user32.lib
100010C8      _GetWindowLongA@8                             user32.lib
100010CE      _SetMenuItemInfoA@16                          user32.lib
100010D4      _DestroyIcon@4                                user32.lib
100010DA      _GetKeyboardType@4                            user32.lib
100010E0      _DestroyMenu@4                                user32.lib
100010F0      _WaitForMultipleObjects@16                    kernel32.lib
100010F6      _SetEvent@4                                   kernel32.lib
100010FC      _LeaveCriticalSection@4                       kernel32.lib
